phenotype,feature,feature_type,value,overall_value,standardized_difference,n_nonmissing
0,Age,numeric,29.993797964341194,29.67069449620661,0.05557373490210903,172524
1,Age,numeric,27.713464734396272,29.67069449620661,-0.3366431457803457,1677612
2,Age,numeric,31.47560923782363,29.67069449620661,0.3104449913541384,1788300
0,BMI,numeric,26.87444496154785,27.9031925201416,-0.14914929993973716,86480
1,BMI,numeric,29.40728759765625,27.9031925201416,0.2180658665773843,1674999
2,BMI,numeric,26.543962478637695,27.9031925201416,-0.1970631254031723,1788067
0,Prenatal visits,numeric,8.754613291063524,10.910494016457786,-0.507285156385758,133744
1,Prenatal visits,numeric,9.945675970714575,10.910494016457786,-0.22702456005730057,1661714
2,Prenatal visits,numeric,11.976025389057222,10.910494016457786,0.25072270586035583,1775253
0,Weight gain,numeric,28.991295320236382,29.434767468875904,-0.028559808552073112,87654
1,Weight gain,numeric,26.888329323369714,29.434767468875904,-0.16399177749597155,1664188
2,Weight gain,numeric,31.840638779282823,29.434767468875904,0.15493920923092527,1777578
0,GDM,binary,0.06917298462822564,0.0845343988460976,-0.055219624694113484,172524
1,GDM,binary,0.08556865353848209,0.0845343988460976,0.0037178319093271964,1677612
2,GDM,binary,0.08504613319912767,0.0845343988460976,0.0018395297800464926,1788300
0,Hypertension,binary,0.12083536203658621,0.13888110166016387,-0.0521820996864031,172524
1,Hypertension,binary,0.13397317138885512,0.13888110166016387,-0.014192053748616294,1677612
2,Hypertension,binary,0.14522619247329865,0.13888110166016387,0.01834782991646851,1788300
0,Prior preterm,binary,0.04636456377083768,0.039870702686538945,0.03319030078315936,172524
1,Prior preterm,binary,0.054286688459548454,0.039870702686538945,0.073680495729853,1677612
2,Prior preterm,binary,0.02572051669183023,0.039870702686538945,-0.07232198582713413,1788300
0,Prior cesarean,binary,0.16242377872064176,0.15402002398832906,0.023281166332883865,172524
1,Prior cesarean,binary,0.18692284032303058,0.15402002398832906,0.0911516297546333,1677612
2,Prior cesarean,binary,0.12234300732539283,0.15402002398832906,-0.08775576124606863,1788300
0,Smoking,binary,0.03840625072453688,0.023816826790412145,0.09568206425660383,172524
1,Smoking,binary,0.04602732932287084,0.023816826790412145,0.14566351214947196,1677612
2,Smoking,binary,0.0015735614829726556,0.023816826790412145,-0.14587838080741838,1788300
0,Infertility/ART,binary,0.021515847070552502,0.025104467963707484,-0.022938923357652862,172524
1,Infertility/ART,binary,0.0005168060314303904,0.025104467963707484,-0.15716747725684746,1677612
2,Infertility/ART,binary,0.04851646815411285,0.025104467963707484,0.14965249715884923,1788300
0,Multiple gestation,binary,0.040029213326841485,0.03080059673991792,0.05341343014414222,172524
1,Multiple gestation,binary,0.02813940291318851,0.03080059673991792,-0.015402470047942336,1677612
2,Multiple gestation,binary,0.03240675501873287,0.03080059673991792,0.009296130380741821,1788300
0,Chlamydia,binary,0.0163107741531613,0.016525781956862783,-0.001686520886786295,172524
1,Chlamydia,binary,0.032530167881488686,0.016525781956862783,0.12553837896760922,1677612
2,Chlamydia,binary,0.0015327405916233294,0.016525781956862783,-0.11760539377461104,1788300
