endpoint,endpoint_label,model,subgroup_variable,subgroup,n,events,prevalence,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence,overall_prevalence,overall_model_auprc
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,age_group,20-34,2721959,19349,0.007108483265177764,0.6543715717194203,0.015006855261675122,2.111119165911104,0.007037423725277423,0.00019854307074594719,0.03155767817781043,4.439439047764468,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,age_group,<20,139228,1246,0.008949349268825237,0.6219476850133732,0.016723421776040887,1.8686746123873357,0.008848106706020261,0.000875237021860212,0.028735632183908046,3.21091861773768,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,age_group,>=35,777249,7447,0.009581228152110842,0.662538499682259,0.020986795666061563,2.1904076735129157,0.009448036024919412,0.00041454568223004123,0.04477611940298507,4.673317312991909,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,bmi_group,25-29.9,993716,7371,0.00741761227553949,0.6564096176513738,0.016192181488043536,2.1829371617925206,0.007338370573054077,0.0005328577701398716,0.034819361980477005,4.694146942042014,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,bmi_group,<25,1415857,10053,0.007100293320582517,0.6616812458540613,0.015949662845550022,2.246338584254642,0.007025803935942548,0.0005186137904957021,0.031781905501800975,4.476139796882863,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,bmi_group,>=30,1139973,9460,0.008298442156086152,0.6487525002424155,0.01738221114050622,2.094635452481638,0.00820209137135591,0.00045172534871660305,0.03754385964912281,4.524205741626795,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,bmi_group,Unknown,88890,1158,0.013027337158285522,0.6621921795983009,0.025212126021287168,1.935324595882743,0.012836167803434153,0.002609119147782298,0.043869516310461196,3.3674968090128634,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_1,1784051,12930,0.007247550658585433,0.650479451417107,0.015464019516202989,2.1336890550581176,0.007172843775197007,0.000250002324661968,0.032845692506025446,4.5319714277700855,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_2,473624,4980,0.010514669864702801,0.668742626766401,0.022525283831632017,2.142272094271663,0.010357040728633572,0.0005166809963987496,0.04349662162162162,4.1367558070118315,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_3,24033,409,0.017018266550160196,0.661814122143409,0.0388808000411009,2.2846510205080146,0.016609280476000854,0.003699611106960158,0.075,4.407029339853301,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_4,227183,1675,0.0073729108251937864,0.6582690848046163,0.017929853319037042,2.431855442733607,0.0072917506053517935,0.0005991128673684991,0.03125,4.2384888059701495,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_5,10391,142,0.013665672216341065,0.6317256647505288,0.02554365964937488,1.869184277582073,0.013458000623754407,0.004571905723873236,0.028846153846153848,2.1108477789815816,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_6,91634,689,0.0075190431499225175,0.6662442355588846,0.015540621197650102,2.066834953302568,0.0074458705009894715,0.0012293439822462216,0.03165938864628821,4.2105608406588875,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_7,991715,6876,0.006933443580060804,0.6481113610954222,0.013448526538830457,1.9396604852321473,0.006869787216349981,0.00027635661795162174,0.02591509529091459,3.7376946955249215,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,race_ethnicity_code,MRACEHISP_Unknown,35805,341,0.009523809523809525,0.6591012868032544,0.01899106794516822,1.9940621342426628,0.0094444017288495,0.003093289378428312,0.027932960893854747,2.932960893854748,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,diabetes,Any diabetes,355292,3678,0.010352048455917948,0.6511639197023091,0.020611565316453757,1.9910615183288443,0.01020752651232485,0.0005735136301172975,0.044750914719954966,4.322904293823339,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,diabetes,No diabetes,3283144,24364,0.007420935542272894,0.6565465029967124,0.01610652633240044,2.170417225786509,0.0073418366934297945,0.0001369507411874517,0.03347446011391673,4.510814023815672,0.007707157690831995,0.01673164951964634
