endpoint,feature_set,model,probability_type,metric,point,ci_low,ci_high,n_bootstrap_valid,n_bootstrap_requested
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,auroc,0.690513322817596,0.6876847638393463,0.6935382767804347,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,auprc,0.023382196721517964,0.022611023614140743,0.02410007645911352,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,auprc_over_prevalence,3.0338287679428335,2.9369698986624315,3.130381905752049,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,brier,0.007595717324973588,0.0075077215160901534,0.007669616156387203,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,ece_10,0.00016405108179897676,0.00012359382620630622,0.00026458995649497884,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,top1_event_rate,0.05425461741424802,0.05189025395778364,0.056618980870712404,200,200
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,top1_enrichment_over_prevalence,7.039510490201374,6.749438753384668,7.343301994693831,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,auroc,0.6584002749137019,0.6550224975854996,0.6614066384555854,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,auprc,0.017030288639376084,0.01655383512687488,0.01746956086424814,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,auprc_over_prevalence,2.209671752225125,2.1509721598481666,2.2627437962473125,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,brier,0.007620250985196057,0.007528523015850043,0.007706790730115366,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,ece_10,0.00015977684415394996,0.00012473144291862964,0.0002680650974640232,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,top1_event_rate,0.036746921723834654,0.034982409850483724,0.038649543755496917,200,200
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,top1_enrichment_over_prevalence,4.76789540293781,4.559533863632111,4.977991986989173,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,auroc,0.6901164694397047,0.6869606270233678,0.6930232057426039,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,auprc,0.022973846233623006,0.022271330683852494,0.02374352147304122,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,auprc_over_prevalence,2.980845488726851,2.8870675567355337,3.0771355944141905,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,brier,0.0075973113941131655,0.007499014473377455,0.007674161728584683,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,ece_10,0.00017791987054402826,0.0001437099600598368,0.0003010675002145357,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,top1_event_rate,0.0538698328935796,0.05120039028144239,0.055876209322779244,200,200
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,top1_enrichment_over_prevalence,6.989584883887889,6.662251645733617,7.229314256687071,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,auroc,0.7612627424328434,0.7603264969134391,0.7623313630680656,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,auprc,0.30094836967896343,0.2990714753120818,0.30281184418616064,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,auprc_over_prevalence,6.474008232366152,6.430165434551614,6.517131976511288,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,brier,0.03759447122149496,0.03744230118221323,0.037768678749385276,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,ece_10,0.0012662778912538245,0.0011286627341225096,0.001478146208796415,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,top1_event_rate,0.7067667106420404,0.7014532486807388,0.712464270008795,200,200
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,top1_enrichment_over_prevalence,15.203981692740019,15.099938928367667,15.304603135492092,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,auroc,0.7145407510116881,0.7135144092773603,0.7158434348842091,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,auprc,0.2184444158344473,0.21679593262811397,0.22033377220277592,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,auprc_over_prevalence,4.699181284601195,4.6620371347936915,4.743429548806426,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,brier,0.039978481858513076,0.03979525224153307,0.04013876173474969,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,ece_10,0.0018776174813837393,0.001700755495474382,0.002093915078455213,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,top1_event_rate,0.5381761213720316,0.5325589544854881,0.5442186125769569,200,200
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,top1_enrichment_over_prevalence,11.57725706885251,11.476272588752442,11.718342807597939,200,200
outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt,auroc,0.7611605568001608,0.7599934928382739,0.762369535067818,200,200
outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt,auprc,0.3007858256482993,0.29884230394369454,0.3026407153200759,200,200
outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt,auprc_over_prevalence,6.470511581449704,6.415712717754192,6.515032531078409,200,200
