top_fraction,top_n,event_rate,enrichment_over_prevalence,events_captured,event_capture_pct,endpoint,feature_set,model,probability_type
0.005,18192,0.06640281442392261,8.615733203812827,1208,4.307823978318237,outcome_maternal_morbidity_core,all_inputs,lightgbm,platt
0.01,36384,0.05425461741424802,7.039510490201374,1974,7.039440838741887,outcome_maternal_morbidity_core,all_inputs,lightgbm,platt
0.02,72769,0.04360373235855928,5.657563281782576,3173,11.315170101989873,outcome_maternal_morbidity_core,all_inputs,lightgbm,platt
0.05,181922,0.03126614703004584,4.056767524977244,5688,20.283859924399117,outcome_maternal_morbidity_core,all_inputs,lightgbm,platt
0.1,363844,0.02392508877430987,3.104268750433097,8705,31.042721631837956,outcome_maternal_morbidity_core,all_inputs,lightgbm,platt
0.005,18192,0.0419415127528584,5.441891088169856,763,2.7209186220668995,outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt
0.01,36384,0.036746921723834654,4.76789540293781,1337,4.767848227658512,outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt
0.02,72769,0.031070923057895532,4.031437308575607,2261,8.062905641537693,outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt
0.05,181922,0.02446652961159178,3.174520438409584,4451,15.872619641965622,outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt
0.1,363844,0.01984641769549587,2.575063141513773,7221,25.750659724698668,outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt
0.005,18192,0.06541336851363237,8.487353073292436,1190,4.243634548177734,outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt
0.01,36384,0.0538698328935796,6.989584883887889,1960,6.989515726410384,outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt
0.02,72769,0.042449394659813934,5.50778852109246,3089,11.015619428000855,outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt
0.05,181922,0.030991303965435736,4.02110676965923,5638,20.105555951786606,outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt
0.1,363844,0.023746440782313298,3.081089259476388,8640,30.810926467441696,outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt
0.005,18192,0.9847185576077396,21.18328820095234,17914,10.5915393029237,outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt
0.01,36384,0.7067667106420404,15.203981692740019,25715,15.20383125905342,outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt
0.02,72769,0.48346136404238066,10.400231954006584,35181,20.800543944186597,outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt
0.05,181922,0.29192730950627194,6.279946978985793,53108,31.39976941496438,outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt
0.1,363844,0.19632589791229207,4.223367219655355,71432,42.23371862713217,outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt
0.005,18192,0.8531772207563765,18.353567945014028,15521,9.176693174091701,outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt
0.01,36384,0.5381761213720316,11.57725706885251,19581,11.577142519289325,outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt
0.02,72769,0.34708461020489495,7.466492096937105,25257,14.933041653117332,outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt
0.05,181922,0.21332768988907333,4.589110158685314,38809,22.945576019156295,outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt
0.1,363844,0.15367300271544948,3.305817159712592,55913,33.05820794040264,outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt
0.005,18192,0.9848834652594547,21.186835698139056,17917,10.59331303396695,outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt
0.01,36384,0.7045679419525066,15.156681730250455,25635,15.156531764566767,outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt
0.02,72769,0.48298039000123677,10.389885229399829,35146,20.779850415348687,outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt
0.05,181922,0.2916249821352008,6.273443305643845,53053,31.367251012504806,outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt
0.1,363844,0.19621596068644803,4.221002247531009,71392,42.210068879888844,outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt
