outcome,outcome_label,model,term,coefficient,standard_error,odds_ratio,ci_low,ci_high,n,events,prevalence
outcome_infant_death,Infant death,maternal_registry_adjusted,phenotype_0_vs_2,1.227472964730862,0.029727104916776454,3.412594883219083,3.219441312584527,3.6173368936562365,3596017,19743,0.005490241008315589
outcome_infant_death,Infant death,maternal_registry_adjusted,phenotype_1_vs_2,0.07398550614355597,0.019712552838752354,1.0767911985260659,1.0359811022293932,1.1192089148422155,3596017,19743,0.005490241008315589
outcome_infant_death,Infant death,birth_status_adjusted_descriptive,phenotype_0_vs_2,0.6605904633003716,0.034446738135484704,1.9359350956154133,1.8095439578726777,2.0711542696323733,3596017,19743,0.005490241008315589
outcome_infant_death,Infant death,birth_status_adjusted_descriptive,phenotype_1_vs_2,0.2110696284217759,0.020539857640254112,1.2349983430532783,1.186267125427526,1.285731412977207,3596017,19743,0.005490241008315589
outcome_neonatal_death_lt28d,Neonatal death <28d,maternal_registry_adjusted,phenotype_0_vs_2,1.140379466992697,0.034350574603021974,3.1279550957228466,2.924291826496336,3.3458025605403034,3596017,12892,0.003585077601134811
outcome_neonatal_death_lt28d,Neonatal death <28d,maternal_registry_adjusted,phenotype_1_vs_2,-0.27460279611887445,0.02462612688957701,0.75987388814744,0.724067973595049,0.797450442423844,3596017,12892,0.003585077601134811
outcome_neonatal_death_lt28d,Neonatal death <28d,birth_status_adjusted_descriptive,phenotype_0_vs_2,0.4737897735490744,0.040754362582380924,1.6060693132830557,1.4827689068895522,1.7396228279971906,3596017,12892,0.003585077601134811
outcome_neonatal_death_lt28d,Neonatal death <28d,birth_status_adjusted_descriptive,phenotype_1_vs_2,-0.01998024441188607,0.026450665076063556,0.9802180378992938,0.930695104372193,1.0323761211479394,3596017,12892,0.003585077601134811
outcome_early_neonatal_death_lt7d,Early neonatal death <7d,maternal_registry_adjusted,phenotype_0_vs_2,1.1330805840863711,0.037632708845554724,3.105207634258424,2.8844102935438127,3.342906684752592,3596017,10046,0.0027936464149084946
outcome_early_neonatal_death_lt7d,Early neonatal death <7d,maternal_registry_adjusted,phenotype_1_vs_2,-0.45194391674151624,0.028106394492155233,0.6363898595412661,0.6022802262050598,0.6724312632323809,3596017,10046,0.0027936464149084946
outcome_early_neonatal_death_lt7d,Early neonatal death <7d,birth_status_adjusted_descriptive,phenotype_0_vs_2,0.669170176243949,0.04455932479698238,1.9526163207474418,1.7893168512168118,2.1308190852036466,3596017,10046,0.0027936464149084946
outcome_early_neonatal_death_lt7d,Early neonatal death <7d,birth_status_adjusted_descriptive,phenotype_1_vs_2,0.22202853654835075,0.030502826057774435,1.2486070082901595,1.1761460071095027,1.3255322483156236,3596017,10046,0.0027936464149084946
outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,maternal_registry_adjusted,phenotype_0_vs_2,0.3191324871949096,0.07441266812519151,1.3759336064146857,1.1892033839063894,1.5919844451185563,3596017,6851,0.0019051634071807781
outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,maternal_registry_adjusted,phenotype_1_vs_2,0.421628120396994,0.03287063381822905,1.5244415105555684,1.4293241041761973,1.6258887066375716,3596017,6851,0.0019051634071807781
outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,birth_status_adjusted_descriptive,phenotype_0_vs_2,0.19771662808616597,0.07268832640302002,1.2186170230517128,1.0568021496499178,1.4052085807767873,3596017,6851,0.0019051634071807781
outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,birth_status_adjusted_descriptive,phenotype_1_vs_2,0.5684152858210099,0.03271161928062972,1.76546707273403,1.6558268842977109,1.8823670605094875,3596017,6851,0.0019051634071807781
