phenotype,cause_group,n,events,event_rate,total_events,prevalence,enrichment_over_prevalence,event_capture_pct
0,Perinatal conditions,164651,2394,0.014539844884027427,9751,0.0027116112076222107,5.362068442244453,24.551328068916007
0,Congenital anomalies,164651,417,0.0025326296226564067,3966,0.0011028868884657664,2.296363887487651,10.514372163388805
0,SIDS/ill-defined,164651,202,0.0012268373711668923,2482,0.0006902080829984953,1.7774891389812466,8.138597904915391
0,Infection/respiratory,164651,81,0.0004919496389332588,780,0.00021690664977390262,2.2680246983946932,10.384615384615385
0,External injury,164651,117,0.0007105939229035961,1569,0.000436316068583658,1.6286219419107846,7.45697896749522
0,Other causes,164651,116,0.0007045204705710867,1195,0.00033231211087155594,2.120056559850734,9.707112970711297
1,Perinatal conditions,1668421,4685,0.0028080442526196925,9751,0.0027116112076222107,1.0355630057607128,48.04635422007999
1,Congenital anomalies,1668421,2193,0.0013144164452497302,3966,0.0011028868884657664,1.1917962385773069,55.29500756429652
1,SIDS/ill-defined,1668421,1907,0.0011429968814825515,2482,0.0006902080829984953,1.6560178149710878,76.83319903303787
1,Infection/respiratory,1668421,506,0.0003032807666650084,780,0.00021690664977390262,1.3982087085902608,64.87179487179488
1,External injury,1668421,1194,0.0007156467102727669,1569,0.000436316068583658,1.6402025086902132,76.09942638623328
1,Other causes,1668421,665,0.00039858045421389446,1195,0.00033231211087155594,1.1994159742434194,55.64853556485355
2,Perinatal conditions,1762945,2672,0.0015156456951294567,9751,0.0027116112076222107,0.5589465373461536,27.402317711004
2,Congenital anomalies,1762945,1356,0.000769167500971386,3966,0.0011028868884657664,0.6974128616592589,34.190620272314675
2,SIDS/ill-defined,1762945,373,0.00021157778603416442,2482,0.0006902080829984953,0.30654202876761394,15.028203062046737
2,Infection/respiratory,1762945,193,0.00010947590537424593,780,0.00021690664977390262,0.5047143805335638,24.743589743589745
2,External injury,1762945,258,0.00014634602894588318,1569,0.000436316068583658,0.3354128795231918,16.44359464627151
2,Other causes,1762945,414,0.00023483432551781253,1195,0.00033231211087155594,0.7066679721720399,34.64435146443515
