phenotype,outcome,outcome_label,n,events,event_rate,ci_low,ci_high,n_bootstrap_requested
0,outcome_infant_death,Infant death,164651,3327,0.02020637591025867,0.01944886456808644,0.020916969833162265,500
0,outcome_neonatal_death_lt28d,Neonatal death <28d,164651,2736,0.016616965581745632,0.016103303350723654,0.01723387650242027,500
0,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,164651,2332,0.014163290839411848,0.013580239415490948,0.014676953070433827,500
0,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,164651,591,0.0035894103285130366,0.003300769506410529,0.003874862588140977,500
1,outcome_infant_death,Infant death,1668421,11150,0.006682965510503644,0.006556468661087339,0.006812414252757547,500
1,outcome_neonatal_death_lt28d,Neonatal death <28d,1668421,6438,0.003858738292073763,0.0037606964908737063,0.003964257222847232,500
1,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,1668421,4865,0.0029159306913542804,0.0028331877865358924,0.003005895993876845,500
1,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,1668421,4712,0.002824227218429881,0.002746249297988937,0.0029066854229238305,500
2,outcome_infant_death,Infant death,1762945,5266,0.0029870472419729487,0.002914710895688748,0.003065055914960478,500
2,outcome_neonatal_death_lt28d,Neonatal death <28d,1762945,3718,0.0021089710682976495,0.0020380669845060395,0.002172501127374932,500
2,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,1762945,2849,0.0016160458777783764,0.0015564864473934241,0.0016722019121413318,500
2,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,1762945,1548,0.000878076173675299,0.0008357747972852245,0.0009220508864428555,500
