rule,outcome,outcome_label,n_total,n_selected,selected_fraction,events_total,events_selected,prevalence,event_rate_selected,enrichment_over_prevalence,event_capture_pct
phenotype_0,outcome_infant_death,Infant death,3596017,164651,0.045787047169131845,19743,3327,0.005490241008315589,0.02020637591025867,3.680416921525637,16.851542318796536
phenotype_0,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,164651,0.045787047169131845,12892,2736,0.003585077601134811,0.016616965581745632,4.635036512594802,21.222463543282657
phenotype_0,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,164651,0.045787047169131845,10046,2332,0.0027936464149084946,0.014163290839411848,5.069822280954536,23.213219191718096
phenotype_0,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,164651,0.045787047169131845,6851,591,0.0019051634071807781,0.0035894103285130366,1.8840432873023594,8.626477886439936
all_input_lgbm_top_0.500pct,outcome_infant_death,Infant death,3596017,17980,0.004999976362736884,19743,7642,0.005490241008315589,0.425027808676307,77.41514589843223,38.70738996099883
all_input_lgbm_top_0.500pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,17980,0.004999976362736884,12892,6982,0.003585077601134811,0.38832035595105674,108.31574631135985,54.157617126900405
all_input_lgbm_top_0.500pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,17980,0.004999976362736884,10046,5936,0.0027936464149084946,0.33014460511679644,118.1769472883025,59.08819430619152
all_input_lgbm_top_0.500pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,17980,0.004999976362736884,6851,660,0.0019051634071807781,0.03670745272525028,19.267351339468153,9.633630126988761
all_input_lgbm_top_1.000pct,outcome_infant_death,Infant death,3596017,35960,0.009999952725473767,19743,8095,0.005490241008315589,0.22511123470522804,41.00206791728663,41.0018740819531
all_input_lgbm_top_1.000pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,35960,0.009999952725473767,12892,7278,0.003585077601134811,0.20239154616240268,56.45388152779125,56.453614644740924
all_input_lgbm_top_1.000pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,35960,0.009999952725473767,10046,6155,0.0027936464149084946,0.17116240266963292,61.26845607812516,61.26816643440175
all_input_lgbm_top_1.000pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,35960,0.009999952725473767,6851,817,0.0019051634071807781,0.022719688542825363,11.92532276086779,11.92526638446942
all_input_lgbm_top_2.000pct,outcome_infant_death,Infant death,3596017,71920,0.019999905450947535,19743,8662,0.005490241008315589,0.12043937708565072,21.936992730051685,43.873778047915714
all_input_lgbm_top_2.000pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,71920,0.019999905450947535,12892,7632,0.003585077601134811,0.10611790878754171,29.599891716137865,59.19950356810425
all_input_lgbm_top_2.000pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,71920,0.019999905450947535,10046,6413,0.0027936464149084946,0.08916852057842047,31.91832728099242,63.83635277722477
all_input_lgbm_top_2.000pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,71920,0.019999905450947535,6851,1030,0.0019051634071807781,0.01432146829810901,7.517186318050076,15.034301561815793
all_input_lgbm_top_4.579pct,outcome_infant_death,Infant death,3596017,164651,0.045787047169131845,19743,9691,0.005490241008315589,0.05885782655434829,10.720444961378103,49.0857519120701
all_input_lgbm_top_4.579pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,164651,0.045787047169131845,12892,8241,0.003585077601134811,0.0500513206722097,13.9610145834407,63.9233633260937
all_input_lgbm_top_4.579pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,164651,0.045787047169131845,10046,6875,0.0027936464149084946,0.041754984786001904,14.946410026398986,68.43519808879157
all_input_lgbm_top_4.579pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,164651,0.045787047169131845,6851,1450,0.0019051634071807781,0.008806505882138584,4.622441229422032,21.164793460808642
all_input_lgbm_top_5.000pct,outcome_infant_death,Infant death,3596017,179801,0.050000041712817266,19743,9828,0.005490241008315589,0.05466043014221278,9.95592544287644,49.779668743352076
all_input_lgbm_top_5.000pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,179801,0.050000041712817266,12892,8315,0.003585077601134811,0.046245571492928295,12.899461779652926,64.49736270555383
all_input_lgbm_top_5.000pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,179801,0.050000041712817266,10046,6929,0.0027936464149084946,0.038537049293385466,13.794533584396985,68.9727254628708
all_input_lgbm_top_5.000pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,179801,0.050000041712817266,6851,1513,0.0019051634071807781,0.008414858649284486,4.416869764329886,22.084367245657567
all_input_lgbm_top_10.000pct,outcome_infant_death,Infant death,3596017,359602,0.10000008342563453,19743,11190,0.005490241008315589,0.03111773571893371,5.66782690810884,56.67831636529403
all_input_lgbm_top_10.000pct,outcome_neonatal_death_lt28d,Neonatal death <28d,3596017,359602,0.10000008342563453,12892,9039,0.003585077601134811,0.025136122713444307,7.011319003384413,70.11324852621782
all_input_lgbm_top_10.000pct,outcome_early_neonatal_death_lt7d,Early neonatal death <7d,3596017,359602,0.10000008342563453,10046,7449,0.0027936464149084946,0.0207145677721481,7.414885313188999,74.14891499104121
all_input_lgbm_top_10.000pct,outcome_postneonatal_death_28d_1y,Postneonatal death 28d-1y,3596017,359602,0.10000008342563453,6851,2151,0.0019051634071807781,0.0059816130054894025,3.1396850175391893,31.39687636841337
