endpoint,feature_set,probability_type,bin,n,weight,mean_pred,event_rate
outcome_maternal_morbidity_core,ssl_embedding,raw,1,363844,0.1000001099373467,0.28952602277561706,0.0033201042204901
outcome_maternal_morbidity_core,ssl_embedding,raw,2,363844,0.1000001099373467,0.33611794813385065,0.004031947757830279
outcome_maternal_morbidity_core,ssl_embedding,raw,3,363844,0.1000001099373467,0.36468313629375365,0.00449643253702136
outcome_maternal_morbidity_core,ssl_embedding,raw,4,363844,0.1000001099373467,0.390719744791624,0.004922439287167028
outcome_maternal_morbidity_core,ssl_embedding,raw,5,363844,0.1000001099373467,0.4188869456643217,0.00551610030672486
outcome_maternal_morbidity_core,ssl_embedding,raw,6,363844,0.1000001099373467,0.45310590291081526,0.00607678015852948
outcome_maternal_morbidity_core,ssl_embedding,raw,7,363843,0.09999983509397994,0.49437187890305334,0.00747300346578057
outcome_maternal_morbidity_core,ssl_embedding,raw,8,363843,0.09999983509397994,0.5430536781630667,0.009221010160976026
outcome_maternal_morbidity_core,ssl_embedding,raw,9,363843,0.09999983509397994,0.6036271106970424,0.01217283278776835
outcome_maternal_morbidity_core,ssl_embedding,raw,10,363843,0.09999983509397994,0.7103021740482852,0.019840975365748414
outcome_maternal_morbidity_core,ssl_embedding,platt,1,363844,0.1000001099373467,0.003195135890783019,0.0033201042204901
outcome_maternal_morbidity_core,ssl_embedding,platt,2,363844,0.1000001099373467,0.003939097571361493,0.004031947757830279
outcome_maternal_morbidity_core,ssl_embedding,platt,3,363844,0.1000001099373467,0.004452834709146964,0.00449643253702136
outcome_maternal_morbidity_core,ssl_embedding,platt,4,363844,0.1000001099373467,0.004962155093534432,0.004922439287167028
outcome_maternal_morbidity_core,ssl_embedding,platt,5,363844,0.1000001099373467,0.0055633840941749415,0.00551610030672486
outcome_maternal_morbidity_core,ssl_embedding,platt,6,363844,0.1000001099373467,0.006375151624691452,0.00607678015852948
outcome_maternal_morbidity_core,ssl_embedding,platt,7,363843,0.09999983509397994,0.0074954915396600675,0.00747300346578057
outcome_maternal_morbidity_core,ssl_embedding,platt,8,363843,0.09999983509397994,0.009071068056040292,0.009221010160976026
outcome_maternal_morbidity_core,ssl_embedding,platt,9,363843,0.09999983509397994,0.011567465200402015,0.01217283278776835
outcome_maternal_morbidity_core,ssl_embedding,platt,10,363843,0.09999983509397994,0.01971844434430131,0.019840975365748414
outcome_maternal_morbidity_core,phenotype,raw,1,363844,0.1000001099373467,0.4679323895920809,0.006024559976253559
outcome_maternal_morbidity_core,phenotype,raw,2,363844,0.1000001099373467,0.4679323895920809,0.005348446037312694
outcome_maternal_morbidity_core,phenotype,raw,3,363844,0.1000001099373467,0.4679323895920809,0.00666494431679511
outcome_maternal_morbidity_core,phenotype,raw,4,363844,0.1000001099373467,0.4679323895920809,0.008011675333384637
outcome_maternal_morbidity_core,phenotype,raw,5,363844,0.1000001099373467,0.47189821180206537,0.00814634843504359
outcome_maternal_morbidity_core,phenotype,raw,6,363844,0.1000001099373467,0.5145992917967898,0.009572783940370049
outcome_maternal_morbidity_core,phenotype,raw,7,363843,0.09999983509397994,0.5145992917967898,0.01079586524957193
outcome_maternal_morbidity_core,phenotype,raw,8,363843,0.09999983509397994,0.5145992917967898,0.00699202678078182
outcome_maternal_morbidity_core,phenotype,raw,9,363843,0.09999983509397994,0.5145992917967898,0.005615059242585401
outcome_maternal_morbidity_core,phenotype,raw,10,363843,0.09999983509397994,0.5679861222170725,0.009899874396374261
outcome_maternal_morbidity_core,phenotype,platt,1,363844,0.1000001099373467,0.00660979680259879,0.006024559976253559
outcome_maternal_morbidity_core,phenotype,platt,2,363844,0.1000001099373467,0.00660979680259879,0.005348446037312694
outcome_maternal_morbidity_core,phenotype,platt,3,363844,0.1000001099373467,0.00660979680259879,0.00666494431679511
outcome_maternal_morbidity_core,phenotype,platt,4,363844,0.1000001099373467,0.00660979680259879,0.008011675333384637
outcome_maternal_morbidity_core,phenotype,platt,5,363844,0.1000001099373467,0.006732261011716519,0.00814634843504359
outcome_maternal_morbidity_core,phenotype,platt,6,363844,0.1000001099373467,0.00805086626256746,0.009572783940370049
outcome_maternal_morbidity_core,phenotype,platt,7,363843,0.09999983509397994,0.00805086626256746,0.01079586524957193
outcome_maternal_morbidity_core,phenotype,platt,8,363843,0.09999983509397994,0.00805086626256746,0.00699202678078182
outcome_maternal_morbidity_core,phenotype,platt,9,363843,0.09999983509397994,0.00805086626256746,0.005615059242585401
outcome_maternal_morbidity_core,phenotype,platt,10,363843,0.09999983509397994,0.01043908433587261,0.009899874396374261
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,1,363844,0.1000001099373467,0.28854812873877916,0.003347588526951111
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,2,363844,0.1000001099373467,0.33543216031597173,0.004023702465891976
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,3,363844,0.1000001099373467,0.364202228766647,0.004427721770868834
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,4,363844,0.1000001099373467,0.3903056627590842,0.0049884016226734535
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,5,363844,0.1000001099373467,0.4185157509509675,0.005494112861556051
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,6,363844,0.1000001099373467,0.45276453402809397,0.006013566253669155
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,7,363843,0.09999983509397994,0.4941715280226224,0.00751148160058047
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,8,363843,0.09999983509397994,0.5431615342897426,0.009306211745175803
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,9,363843,0.09999983509397994,0.6040551714698396,0.012005178057568787
outcome_maternal_morbidity_core,ssl_plus_phenotype,raw,10,363843,0.09999983509397994,0.7115226467900604,0.01995366133194812
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,1,363844,0.1000001099373467,0.003190907792811419,0.003347588526951111
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,2,363844,0.1000001099373467,0.003937138353285347,0.004023702465891976
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,3,363844,0.1000001099373467,0.0044527478514304,0.004427721770868834
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,4,363844,0.1000001099373467,0.004961527859591162,0.0049884016226734535
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,5,363844,0.1000001099373467,0.005561293695845391,0.005494112861556051
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,6,363844,0.1000001099373467,0.0063702278610470705,0.006013566253669155
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,7,363843,0.09999983509397994,0.007489099287237527,0.00751148160058047
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,8,363843,0.09999983509397994,0.009067391807318005,0.009306211745175803
