endpoint,feature_set,model,probability_type,metric,point,ci_low,ci_high,n_bootstrap_valid,n_bootstrap_requested
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,auroc,0.6583206886916518,0.6551680425652568,0.6611460332206055,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,auprc,0.016847376980760886,0.01650587937492807,0.01734037198639151,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,auprc_over_prevalence,2.185939052577267,2.148668593544536,2.245261586204455,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,brier,0.007621233842333444,0.007552991388518739,0.007711198447153548,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,ece_10,0.00015471154180229303,0.00012163105519067137,0.00026257599533399066,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,top1_event_rate,0.03611477572559367,0.03454677880386983,0.0379356310466139,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,top1_enrichment_over_prevalence,4.685874763994228,4.488868448834403,4.903982487579818,200,200
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,top1_event_capture_pct,4.685828400256757,4.488824034348575,4.903933965805751,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,auroc,0.5353981686120896,0.5324275790374736,0.5383294054487607,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,auprc,0.008521631167404948,0.008422952360927483,0.008636091719389173,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,auprc_over_prevalence,1.1056775414809281,1.0959391998502548,1.1137273434031285,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,brier,0.007646115432725294,0.007565721242797786,0.007749432595026795,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,ece_10,0.0013018469846944264,0.00011134033285630239,0.0002556503377325362,200,200
outcome_maternal_morbidity_core,phenotype,logistic,platt,top1_event_rate,0.018332233948988565,0.011679584432717677,0.013881101583113457,200,200
