iteration,sample_n,sample_fraction,k,ari_vs_primary,nmi_vs_primary,min_cluster_prop,cluster_sizes,pca_explained_variance_total
1,500000,0.13869313893363283,3,0.9956752012217998,0.9891663877414388,0.046268,232138;244728;23134,0.972140371799469
2,500000,0.13869313893363283,3,0.9973698698860569,0.9928164976273843,0.045444,22722;245044;232234,0.9721918106079102
3,500000,0.13869313893363283,3,0.9957764368296854,0.9887747978942548,0.045896,245042;22948;232010,0.9720879197120667
4,500000,0.13869313893363283,3,0.9963568827155105,0.9900338828888382,0.045794,22897;231831;245272,0.9720911383628845
5,500000,0.13869313893363283,3,0.9969488046352928,0.9915840319361661,0.045676,244544;232618;22838,0.9721485376358032
6,500000,0.13869313893363283,3,0.9978180481546504,0.9935537221915888,0.046138,23069;245014;231917,0.9721453189849854
7,500000,0.13869313893363283,3,0.9947972326417123,0.9872375461259457,0.045502,245496;22751;231753,0.9722471833229065
8,500000,0.13869313893363283,3,0.997099042968855,0.9921482189816172,0.045448,232185;245091;22724,0.9721935987472534
9,500000,0.13869313893363283,3,0.9947913990454973,0.9862873625632091,0.04592,22960;245148;231892,0.9721109867095947
10,500000,0.13869313893363283,3,0.9972189023929007,0.992302459975804,0.046114,23057;244511;232432,0.9722225069999695
