top_fraction,top_n,event_rate,enrichment_over_prevalence,events_captured,event_capture_pct,endpoint,feature_set,model,probability_type
0.01,36384,0.03611477572559367,4.685874763994228,1314,4.685828400256757,outcome_maternal_morbidity_core,ssl_embedding,logistic,raw
0.05,181922,0.02438407669220875,3.16382221181418,4436,15.81912845018187,outcome_maternal_morbidity_core,ssl_embedding,logistic,raw
0.1,363844,0.01984092083420367,2.5743499264074123,7219,25.743527565794167,outcome_maternal_morbidity_core,ssl_embedding,logistic,raw
0.01,36384,0.03611477572559367,4.685874763994228,1314,4.685828400256757,outcome_maternal_morbidity_core,ssl_embedding,logistic,platt
0.05,181922,0.02438407669220875,3.16382221181418,4436,15.81912845018187,outcome_maternal_morbidity_core,ssl_embedding,logistic,platt
0.1,363844,0.01984092083420367,2.5743499264074123,7219,25.743527565794167,outcome_maternal_morbidity_core,ssl_embedding,logistic,platt
0.01,36384,0.018332233948988565,2.3785985293638885,667,2.3785749946508807,outcome_maternal_morbidity_core,phenotype,logistic,raw
0.05,181922,0.012620793526896143,1.6375418842031915,2296,8.18771842236645,outcome_maternal_morbidity_core,phenotype,logistic,raw
0.1,363844,0.009949318938885897,1.2909193425120977,3620,12.90920761714571,outcome_maternal_morbidity_core,phenotype,logistic,raw
0.01,36384,0.018332233948988565,2.3785985293638885,667,2.3785749946508807,outcome_maternal_morbidity_core,phenotype,logistic,platt
0.05,181922,0.012620793526896143,1.6375418842031915,2296,8.18771842236645,outcome_maternal_morbidity_core,phenotype,logistic,platt
0.1,363844,0.009949318938885897,1.2909193425120977,3620,12.90920761714571,outcome_maternal_morbidity_core,phenotype,logistic,platt
0.01,36384,0.035070360598065085,4.550362404000483,1276,4.55031738107125,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,raw
0.05,181922,0.024296126911533513,3.1524107701124153,4420,15.762071178945867,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,raw
0.1,363844,0.019953606490693814,2.5889708360877983,7260,25.889736823336424,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,raw
0.01,36384,0.035070360598065085,4.550362404000483,1276,4.55031738107125,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,platt
0.05,181922,0.024296126911533513,3.1524107701124153,4420,15.762071178945867,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,platt
0.1,363844,0.019953606490693814,2.5889708360877983,7260,25.889736823336424,outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,platt
0.01,36384,0.47312005277044855,10.177769428692464,17214,10.17766872616549,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,raw
0.05,181922,0.2114807444948934,4.549378626996317,38473,22.746918142312353,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,raw
0.1,363844,0.15336243005244005,3.2991361134613166,55800,32.99139740444024,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,raw
0.01,36384,0.47312005277044855,10.177769428692464,17214,10.17766872616549,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,platt
0.05,181922,0.2114807444948934,4.549378626996317,38473,22.746918142312353,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,platt
0.1,363844,0.15336243005244005,3.2991361134613166,55800,32.99139740444024,outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,platt
0.01,36384,0.09724054529463501,2.091840841101077,3538,2.0918201436722144,outcome_severe_neonatal_no_nicu,phenotype,logistic,raw
0.05,181922,0.08058398654368355,1.7335245671449069,14660,8.667632364679102,outcome_severe_neonatal_no_nicu,phenotype,logistic,raw
0.1,363844,0.06113059443058014,1.3150427497420538,22242,13.15044195465161,outcome_severe_neonatal_no_nicu,phenotype,logistic,raw
0.01,36384,0.09724054529463501,2.091840841101077,3538,2.0918201436722144,outcome_severe_neonatal_no_nicu,phenotype,logistic,platt
0.05,181922,0.08058398654368355,1.7335245671449069,14660,8.667632364679102,outcome_severe_neonatal_no_nicu,phenotype,logistic,platt
0.1,363844,0.06113059443058014,1.3150427497420538,22242,13.15044195465161,outcome_severe_neonatal_no_nicu,phenotype,logistic,platt
0.01,36384,0.47454925241864554,10.208514404310682,17266,10.208413397581813,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,raw
0.05,181922,0.21207990237574345,4.562267725073998,38582,22.81136370355042,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,raw
0.1,363844,0.15365376370092676,3.305403289590831,55906,33.05406923463506,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,raw
0.01,36384,0.47454925241864554,10.208514404310682,17266,10.208413397581813,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,platt
0.05,181922,0.21207990237574345,4.562267725073998,38582,22.81136370355042,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,platt
0.1,363844,0.15365376370092676,3.305403289590831,55906,33.05406923463506,outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,platt
